,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank,show,category,projectrank_placing,trending,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,updated_github_id
22,omg-tools,omg-tools,meco-group/omg-tools,,https://github.com/meco-group/omg-tools,https://github.com/meco-group/omg-tools,LGPL-3.0,2016-03-21 10:48:33,2024-09-12 15:29:08.000,2024-07-03 12:02:01,1759.0,,93.0,29.0,4.0,27.0,65.0,594.0,2017-12-01 11:32:06.000,0.1.3,3.0,Optimal Motion Generation-tools: motion planning made easy.,2.0,2.0,10.0,https://pypi.org/project/omg-tools,23.0,23.0,,,,16,True,robotics,2,,,,,
23,Fatrop,,meco-group/fatrop,conda-forge/libfatrop,https://github.com/meco-group/fatrop,https://meco-group.github.io/fatrop/,LGPL-3.0,2023-07-19 12:05:33,2026-03-31 09:38:20.000,2026-03-31 09:37:54,199.0,15.0,28.0,18.0,14.0,23.0,13.0,268.0,,,2.0,"Fatrop is a nonlinear optimal control problem solver that aims to be fast, support a broad class of optimal control..",,,5.0,,,6780.0,https://anaconda.org/conda-forge/libfatrop,2025-04-22 14:59:10.489,135601.0,16,True,solver,3,,,,,
24,safe-control-gym,,utiasDSL/safe-control-gym,,https://github.com/utiasDSL/safe-control-gym,https://www.dynsyslab.org/safe-robot-learning/,MIT,2021-08-04 22:14:15,2025-11-06 19:47:30.000,2025-11-06 19:43:08,546.0,,150.0,11.0,134.0,4.0,55.0,862.0,2024-10-21 14:55:01.000,1.0.0,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,20.0,,,,,,,15,True,machine-learning,2,,,,,
25,qpOASES,,coin-or/qpOASES,conda-forge/qpoases,https://github.com/coin-or/qpOASES,https://github.com/coin-or/qpOASES,LGPL-2.1,2020-02-19 04:13:16,2026-03-11 07:02:31.000,2026-03-11 07:02:30,198.0,2.0,147.0,14.0,16.0,79.0,59.0,529.0,,,2.0,Open-source C++ implementation of the recently proposed online active set strategy.,,,20.0,,,1686.0,https://anaconda.org/conda-forge/qpoases,2025-04-22 14:58:14.536,80967.0,15,True,solver,3,,,,,
26,liecasadi,liecasadi,ami-iit/liecasadi,conda-forge/liecasadi,https://github.com/gbionics/liecasadi,https://github.com/gbionics/liecasadi,BSD-3-Clause,2022-01-19 14:19:15,2025-07-15 08:29:02.000,2025-07-15 08:29:02,126.0,,8.0,18.0,14.0,,5.0,88.0,2025-03-11 15:55:17.000,0.0.7,7.0,"Rigid transform using Lie groups and Dual Quaternions, written in CasADi!.",11.0,11.0,4.0,https://pypi.org/project/liecasadi,7113.0,7314.0,https://anaconda.org/conda-forge/liecasadi,2025-04-22 14:58:43.547,6649.0,15,True,others,2,,2025-03-11 15:55:57.000,,13.0,gbionics/liecasadi
27,OpenAP,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-04-01 15:59:35.000,2026-03-18 16:44:38,105.0,23.0,11.0,5.0,8.0,1.0,7.0,38.0,2026-03-18 16:45:50.000,1.11.0,12.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,https://pypi.org/project/openap-top,307.0,307.0,,,,15,False,robotics,2,,,,,
28,openap-top,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2026-04-01 15:59:35.000,2026-03-18 16:44:38,105.0,23.0,11.0,5.0,8.0,2.0,7.0,38.0,2026-03-18 16:45:50.000,1.11.0,13.0,easy-peasy optimal flight trajectory.,4.0,4.0,4.0,https://pypi.org/project/openap-top,307.0,307.0,,,,15,False,others,2,,2026-03-18 16:45:43.000,,,
29,casadi-nlp,csnlp,FilippoAiraldi/casadi-nlp,,https://github.com/FilippoAiraldi/casadi-nlp,https://github.com/FilippoAiraldi/casadi-nlp,MIT,2022-11-02 20:10:28,2026-03-31 08:08:36.000,2026-03-31 08:08:35,964.0,14.0,2.0,5.0,23.0,,1.0,27.0,2025-10-16 20:32:59.000,1.6.8,37.0,Nonlinear Progamming with CasADi.,22.0,22.0,4.0,https://pypi.org/project/csnlp,1009.0,1009.0,,,,15,False,mpc,2,,,,,
30,l4casadi,l4casadi,Tim-Salzmann/l4casadi,,https://github.com/Tim-Salzmann/l4casadi,https://github.com/Tim-Salzmann/l4casadi,MIT,2023-06-19 14:55:52,2025-06-05 15:17:30.000,2025-06-05 15:17:30,110.0,,46.0,11.0,7.0,3.0,70.0,565.0,,,,Use PyTorch Models with CasADi for data-driven optimization or learning-based optimal control. Supports Acados.,11.0,11.0,4.0,https://pypi.org/project/l4casadi,138.0,138.0,,,,14,True,machine-learning,2,,,,,
31,SIPPY,sippy_unipi,CPCLAB-UNIPI/SIPPY,,https://github.com/CPCLAB-UNIPI/SIPPY,https://github.com/CPCLAB-UNIPI/SIPPY,LGPL-3.0,2018-04-04 13:55:24,2025-10-14 09:22:26.000,2025-10-14 09:22:23,127.0,,96.0,20.0,26.0,19.0,29.0,327.0,2025-09-02 09:31:24.000,1.0.1,3.0,Systems Identification Package for PYthon.,,,12.0,https://pypi.org/project/sippy_unipi,1012.0,1012.0,,,,14,True,others,2,,2025-09-02 09:31:24.000,,,
32,(Geometric) Fabrics,fabrics,tud-amr/fabrics,,https://github.com/tud-amr/fabrics,https://github.com/tud-amr/fabrics,GPL-3.0,2021-06-30 09:32:19,2025-02-01 00:57:30.000,2025-02-01 00:55:36,577.0,,13.0,7.0,101.0,14.0,28.0,94.0,2025-02-01 00:55:39.000,0.10.0,17.0,Optimization fabrics for behavior design.,16.0,16.0,7.0,https://pypi.org/project/fabrics,105.0,105.0,,,,14,True,others,2,,,,,
33,matADi,matadi,adtzlr/matadi,,https://github.com/adtzlr/matadi,https://github.com/adtzlr/matadi,GPL-3.0,2021-09-20 18:53:28,2025-08-28 19:30:43.000,2025-08-28 19:29:32,487.0,,3.0,4.0,86.0,2.0,56.0,32.0,2025-08-28 19:30:43.000,0.4.0,56.0,Material Definition with Automatic Differentiation.,5.0,3.0,2.0,https://pypi.org/project/matadi,1261.0,1261.0,,,,14,False,others,2,,2025-08-28 19:30:43.000,2.0,,
34,nosnoc,,nosnoc/nosnoc,,https://github.com/nosnoc/nosnoc,https://nosnoc.readthedocs.io/,BSD-2-Clause,2022-03-15 12:37:04,2025-12-04 08:04:37.000,2025-04-02 12:59:51,274.0,,10.0,5.0,96.0,28.0,27.0,73.0,2025-12-04 08:04:37.000,0.9.0,10.0,nosnoc is an open-source MATLAB software package for NOnSmooth Numerical Optimal Control. The Python package nosnoc_py..,,,3.0,,,,,,,13,True,mpc,2,,,,,
35,MPOPT,mpopt,mpopt/mpopt,,https://github.com/mpopt/mpopt,https://mpopt.readthedocs.io/,LGPL-3.0,2020-06-18 18:10:34,2024-07-04 07:12:40.000,2024-07-04 07:11:37,226.0,,21.0,5.0,35.0,6.0,,67.0,2024-06-20 16:36:33.000,1.0-beta,2.0,A pseudo-spectral collocation based multi-phase Optimal control problem solver.,3.0,3.0,6.0,https://pypi.org/project/mpopt,342.0,342.0,,,,13,True,mpc,2,,,,,
36,jaxadi,jaxadi,based-robotics/jaxadi,,https://github.com/based-robotics/jaxadi,https://github.com/based-robotics/jaxadi,MIT,2024-09-02 14:04:27,2025-02-23 04:21:56.000,2025-02-08 08:01:39,37.0,,7.0,9.0,9.0,2.0,9.0,179.0,2025-02-08 08:14:07.000,0.4.0,2.0,Transforms your CasADi functions into batchable JAX-compatible functions. By combining the power of CasADi with the..,1.0,1.0,3.0,https://pypi.org/project/jaxadi,39.0,39.0,,,,12,True,machine-learning,3,,,,,
37,leap-c,,leap-c/leap-c,,https://github.com/leap-c/leap-c,https://leap-c.github.io/leap-c/,,2024-12-13 17:04:18,2026-03-24 11:57:59.000,2026-03-23 10:46:45,315.0,58.0,29.0,4.0,246.0,20.0,21.0,129.0,,,1.0,Learning Predictive Control: A framework for integrating optimal control solvers into deep learning pipelines.,,,10.0,,,,,,,12,True,machine-learning,3,,,,,
